"","year","race","number","income_median","income_med_moe","income_mean","income_mean_moe","income_bracket","income_distribution"
"348",1981,"All Races",83527000,51627,445,61677,370,"$75,000 to $99,999",14
"349",1981,"All Races",83527000,51627,445,61677,370,"$100,000 to $149,999",11.8
"350",1981,"All Races",83527000,51627,445,61677,370,"$150,000 to $199,999",3.1
"351",1981,"All Races",83527000,51627,445,61677,370,"$200,000 and over",1.8
"352",1980,"All Races",82368000,52461,443,62394,375,"Under $15,000",12.2
"353",1980,"All Races",82368000,52461,443,62394,375,"$15,000 to $24,999",10.7
"354",1980,"All Races",82368000,52461,443,62394,375,"$25,000 to $34,999",10.3
"355",1980,"All Races",82368000,52461,443,62394,375,"$35,000 to $49,999",14.6
"356",1980,"All Races",82368000,52461,443,62394,375,"$50,000 to $74,999",21.2
"357",1980,"All Races",82368000,52461,443,62394,375,"$75,000 to $99,999",14
"358",1980,"All Races",82368000,52461,443,62394,375,"$100,000 to $149,999",12
"359",1980,"All Races",82368000,52461,443,62394,375,"$150,000 to $199,999",3.2
"360",1980,"All Races",82368000,52461,443,62394,375,"$200,000 and over",1.8
"361",1979,"All Races",80776000,54222,423,64410,401,"Under $15,000",11.8
"362",1979,"All Races",80776000,54222,423,64410,401,"$15,000 to $24,999",10.2
"363",1979,"All Races",80776000,54222,423,64410,401,"$25,000 to $34,999",10.2
"364",1979,"All Races",80776000,54222,423,64410,401,"$35,000 to $49,999",14.4
"365",1979,"All Races",80776000,54222,423,64410,401,"$50,000 to $74,999",20.5
"366",1979,"All Races",80776000,54222,423,64410,401,"$75,000 to $99,999",15.1
"367",1979,"All Races",80776000,54222,423,64410,401,"$100,000 to $149,999",12.2
"368",1979,"All Races",80776000,54222,423,64410,401,"$150,000 to $199,999",3.4
"369",1979,"All Races",80776000,54222,423,64410,401,"$200,000 and over",2.1
"370",1978,"All Races",77330000,54326,362,63940,403,"Under $15,000",11.6
"371",1978,"All Races",77330000,54326,362,63940,403,"$15,000 to $24,999",10.5
"372",1978,"All Races",77330000,54326,362,63940,403,"$25,000 to $34,999",10.1
"373",1978,"All Races",77330000,54326,362,63940,403,"$35,000 to $49,999",14.2
"374",1978,"All Races",77330000,54326,362,63940,403,"$50,000 to $74,999",21
"375",1978,"All Races",77330000,54326,362,63940,403,"$75,000 to $99,999",14.9
"376",1978,"All Races",77330000,54326,362,63940,403,"$100,000 to $149,999",12.4
"377",1978,"All Races",77330000,54326,362,63940,403,"$150,000 to $199,999",3.2
"378",1978,"All Races",77330000,54326,362,63940,403,"$200,000 and over",2
"379",1977,"All Races",76030000,52302,323,62044,311,"Under $15,000",11.9
"380",1977,"All Races",76030000,52302,323,62044,311,"$15,000 to $24,999",11.2
"381",1977,"All Races",76030000,52302,323,62044,311,"$25,000 to $34,999",10.5
"382",1977,"All Races",76030000,52302,323,62044,311,"$35,000 to $49,999",14.2
"383",1977,"All Races",76030000,52302,323,62044,311,"$50,000 to $74,999",21.3
"384",1977,"All Races",76030000,52302,323,62044,311,"$75,000 to $99,999",14.7
"385",1977,"All Races",76030000,52302,323,62044,311,"$100,000 to $149,999",11.6
"386",1977,"All Races",76030000,52302,323,62044,311,"$150,000 to $199,999",2.9
"387",1977,"All Races",76030000,52302,323,62044,311,"$200,000 and over",1.8
"388",1976,"All Races",74142000,51973,317,61133,310,"Under $15,000",12
"389",1976,"All Races",74142000,51973,317,61133,310,"$15,000 to $24,999",11.3
"390",1976,"All Races",74142000,51973,317,61133,310,"$25,000 to $34,999",10.3
"391",1976,"All Races",74142000,51973,317,61133,310,"$35,000 to $49,999",14.8
"392",1976,"All Races",74142000,51973,317,61133,310,"$50,000 to $74,999",21.8
"393",1976,"All Races",74142000,51973,317,61133,310,"$75,000 to $99,999",14.5
"394",1976,"All Races",74142000,51973,317,61133,310,"$100,000 to $149,999",11.2
"395",1976,"All Races",74142000,51973,317,61133,310,"$150,000 to $199,999",2.5
"396",1976,"All Races",74142000,51973,317,61133,310,"$200,000 and over",1.7
"397",1975,"All Races",72867000,51124,342,59698,306,"Under $15,000",12.4
"398",1975,"All Races",72867000,51124,342,59698,306,"$15,000 to $24,999",11.4
"399",1975,"All Races",72867000,51124,342,59698,306,"$25,000 to $34,999",10.7
"400",1975,"All Races",72867000,51124,342,59698,306,"$35,000 to $49,999",14.7
"401",1975,"All Races",72867000,51124,342,59698,306,"$50,000 to $74,999",22.1
"402",1975,"All Races",72867000,51124,342,59698,306,"$75,000 to $99,999",14.3
"403",1975,"All Races",72867000,51124,342,59698,306,"$100,000 to $149,999",10.5
"404",1975,"All Races",72867000,51124,342,59698,306,"$150,000 to $199,999",2.4
"405",1975,"All Races",72867000,51124,342,59698,306,"$200,000 and over",1.5
"406",1974,"All Races",71163000,52499,332,61393,316,"Under $15,000",11.8
"407",1974,"All Races",71163000,52499,332,61393,316,"$15,000 to $24,999",10.7
"408",1974,"All Races",71163000,52499,332,61393,316,"$25,000 to $34,999",10
"409",1974,"All Races",71163000,52499,332,61393,316,"$35,000 to $49,999",15.3
"410",1974,"All Races",71163000,52499,332,61393,316,"$50,000 to $74,999",22
"411",1974,"All Races",71163000,52499,332,61393,316,"$75,000 to $99,999",14.9
"412",1974,"All Races",71163000,52499,332,61393,316,"$100,000 to $149,999",10.9
"413",1974,"All Races",71163000,52499,332,61393,316,"$150,000 to $199,999",2.7
"414",1974,"All Races",71163000,52499,332,61393,316,"$200,000 and over",1.6
"415",1973,"All Races",69859000,54216,339,62700,314,"Under $15,000",11.6
"416",1973,"All Races",69859000,54216,339,62700,314,"$15,000 to $24,999",10.8
"417",1973,"All Races",69859000,54216,339,62700,314,"$25,000 to $34,999",9.5
"418",1973,"All Races",69859000,54216,339,62700,314,"$35,000 to $49,999",14.3
"419",1973,"All Races",69859000,54216,339,62700,314,"$50,000 to $74,999",22.2
"420",1973,"All Races",69859000,54216,339,62700,314,"$75,000 to $99,999",14.9
"421",1973,"All Races",69859000,54216,339,62700,314,"$100,000 to $149,999",11.8
"422",1973,"All Races",69859000,54216,339,62700,314,"$150,000 to $199,999",3
"423",1973,"All Races",69859000,54216,339,62700,314,"$200,000 and over",1.9
"424",1972,"All Races",68251000,53143,334,61851,316,"Under $15,000",12.4
"425",1972,"All Races",68251000,53143,334,61851,316,"$15,000 to $24,999",10.3
"426",1972,"All Races",68251000,53143,334,61851,316,"$25,000 to $34,999",10
"427",1972,"All Races",68251000,53143,334,61851,316,"$35,000 to $49,999",14.7
"428",1972,"All Races",68251000,53143,334,61851,316,"$50,000 to $74,999",22.4
"429",1972,"All Races",68251000,53143,334,61851,316,"$75,000 to $99,999",14.7
"430",1972,"All Races",68251000,53143,334,61851,316,"$100,000 to $149,999",10.9
"431",1972,"All Races",68251000,53143,334,61851,316,"$150,000 to $199,999",2.7
"432",1972,"All Races",68251000,53143,334,61851,316,"$200,000 and over",1.8
"433",1971,"All Races",66676000,50960,325,58609,306,"Under $15,000",13.3
"434",1971,"All Races",66676000,50960,325,58609,306,"$15,000 to $24,999",10.2
"435",1971,"All Races",66676000,50960,325,58609,306,"$25,000 to $34,999",10.6
"436",1971,"All Races",66676000,50960,325,58609,306,"$35,000 to $49,999",15.2
"437",1971,"All Races",66676000,50960,325,58609,306,"$50,000 to $74,999",23.5
"438",1971,"All Races",66676000,50960,325,58609,306,"$75,000 to $99,999",13.9
"439",1971,"All Races",66676000,50960,325,58609,306,"$100,000 to $149,999",9.7
"440",1971,"All Races",66676000,50960,325,58609,306,"$150,000 to $199,999",2.2
"441",1971,"All Races",66676000,50960,325,58609,306,"$200,000 and over",1.4
"442",1970,"All Races",64778000,51461,310,58926,310,"Under $15,000",13.3
"443",1970,"All Races",64778000,51461,310,58926,310,"$15,000 to $24,999",10.1
"444",1970,"All Races",64778000,51461,310,58926,310,"$25,000 to $34,999",9.7
"445",1970,"All Races",64778000,51461,310,58926,310,"$35,000 to $49,999",15.7
"446",1970,"All Races",64778000,51461,310,58926,310,"$50,000 to $74,999",24.1
"447",1970,"All Races",64778000,51461,310,58926,310,"$75,000 to $99,999",13.7
"448",1970,"All Races",64778000,51461,310,58926,310,"$100,000 to $149,999",9.9
"449",1970,"All Races",64778000,51461,310,58926,310,"$150,000 to $199,999",2.2
"450",1970,"All Races",64778000,51461,310,58926,310,"$200,000 and over",1.4
"451",1969,"All Races",63401000,51863,315,59004,305,"Under $15,000",13.2
"452",1969,"All Races",63401000,51863,315,59004,305,"$15,000 to $24,999",9.9
"453",1969,"All Races",63401000,51863,315,59004,305,"$25,000 to $34,999",9.4
"454",1969,"All Races",63401000,51863,315,59004,305,"$35,000 to $49,999",16
"455",1969,"All Races",63401000,51863,315,59004,305,"$50,000 to $74,999",24.3
"456",1969,"All Races",63401000,51863,315,59004,305,"$75,000 to $99,999",14.2
"457",1969,"All Races",63401000,51863,315,59004,305,"$100,000 to $149,999",9.4
"458",1969,"All Races",63401000,51863,315,59004,305,"$150,000 to $199,999",2.2
"459",1969,"All Races",63401000,51863,315,59004,305,"$200,000 and over",1.3
"460",1968,"All Races",62214000,50004,297,56572,297,"Under $15,000",13.4
"461",1968,"All Races",62214000,50004,297,56572,297,"$15,000 to $24,999",10.1
"462",1968,"All Races",62214000,50004,297,56572,297,"$25,000 to $34,999",10.4
"463",1968,"All Races",62214000,50004,297,56572,297,"$35,000 to $49,999",16.5
"464",1968,"All Races",62214000,50004,297,56572,297,"$50,000 to $74,999",24.8
"465",1968,"All Races",62214000,50004,297,56572,297,"$75,000 to $99,999",13.7
"466",1968,"All Races",62214000,50004,297,56572,297,"$100,000 to $149,999",8.2
"467",1968,"All Races",62214000,50004,297,56572,297,"$150,000 to $199,999",1.8
"468",1968,"All Races",62214000,50004,297,56572,297,"$200,000 and over",1.1
"469",1967,"All Races",60813000,47938,287,53616,287,"Under $15,000",14.8
"470",1967,"All Races",60813000,47938,287,53616,287,"$15,000 to $24,999",10.2
"471",1967,"All Races",60813000,47938,287,53616,287,"$25,000 to $34,999",10.9
"472",1967,"All Races",60813000,47938,287,53616,287,"$35,000 to $49,999",16.8
"473",1967,"All Races",60813000,47938,287,53616,287,"$50,000 to $74,999",24.8
"474",1967,"All Races",60813000,47938,287,53616,287,"$75,000 to $99,999",11.9
"475",1967,"All Races",60813000,47938,287,53616,287,"$100,000 to $149,999",7.7
"476",1967,"All Races",60813000,47938,287,53616,287,"$150,000 to $199,999",1.7
"477",1967,"All Races",60813000,47938,287,53616,287,"$200,000 and over",1.2
"478",2019,"White Alone",100568000,72204,800,101732,1192,"Under $15,000",7.8
"479",2019,"White Alone",100568000,72204,800,101732,1192,"$15,000 to $24,999",7.5
"480",2019,"White Alone",100568000,72204,800,101732,1192,"$25,000 to $34,999",8
"481",2019,"White Alone",100568000,72204,800,101732,1192,"$35,000 to $49,999",11.5
"482",2019,"White Alone",100568000,72204,800,101732,1192,"$50,000 to $74,999",16.7
"483",2019,"White Alone",100568000,72204,800,101732,1192,"$75,000 to $99,999",12.7
"484",2019,"White Alone",100568000,72204,800,101732,1192,"$100,000 to $149,999",16.3
"485",2019,"White Alone",100568000,72204,800,101732,1192,"$150,000 to $199,999",8.7
"486",2019,"White Alone",100568000,72204,800,101732,1192,"$200,000 and over",10.8
"487",2018,"White Alone",100528000,68156,657,95650,1052,"Under $15,000",8.5
"488",2018,"White Alone",100528000,68156,657,95650,1052,"$15,000 to $24,999",8.3
"489",2018,"White Alone",100528000,68156,657,95650,1052,"$25,000 to $34,999",8.4
"490",2018,"White Alone",100528000,68156,657,95650,1052,"$35,000 to $49,999",11.8
"491",2018,"White Alone",100528000,68156,657,95650,1052,"$50,000 to $74,999",17.3
"492",2018,"White Alone",100528000,68156,657,95650,1052,"$75,000 to $99,999",13.1
"493",2018,"White Alone",100528000,68156,657,95650,1052,"$100,000 to $149,999",15.7
"494",2018,"White Alone",100528000,68156,657,95650,1052,"$150,000 to $199,999",7.6
"495",2018,"White Alone",100528000,68156,657,95650,1052,"$200,000 and over",9.3
"496",2017,"White Alone",100065000,68076,714,93480,1033,"Under $15,000",8.6
"497",2017,"White Alone",100065000,68076,714,93480,1033,"$15,000 to $24,999",8.7
"498",2017,"White Alone",100065000,68076,714,93480,1033,"$25,000 to $34,999",8.9
"499",2017,"White Alone",100065000,68076,714,93480,1033,"$35,000 to $49,999",11.7
"500",2017,"White Alone",100065000,68076,714,93480,1033,"$50,000 to $74,999",16.5
"501",2017,"White Alone",100065000,68076,714,93480,1033,"$75,000 to $99,999",12.9
"502",2017,"White Alone",100065000,68076,714,93480,1033,"$100,000 to $149,999",15.7
"503",2017,"White Alone",100065000,68076,714,93480,1033,"$150,000 to $199,999",8
"504",2017,"White Alone",100065000,68076,714,93480,1033,"$200,000 and over",9
"505",2016,"White Alone",99400000,65901,585,91988,936,"Under $15,000",8.9
"506",2016,"White Alone",99400000,65901,585,91988,936,"$15,000 to $24,999",8.6
"507",2016,"White Alone",99400000,65901,585,91988,936,"$25,000 to $34,999",8.9
"508",2016,"White Alone",99400000,65901,585,91988,936,"$35,000 to $49,999",12.3
"509",2016,"White Alone",99400000,65901,585,91988,936,"$50,000 to $74,999",16.8
"510",2016,"White Alone",99400000,65901,585,91988,936,"$75,000 to $99,999",12.5
"511",2016,"White Alone",99400000,65901,585,91988,936,"$100,000 to $149,999",15.9
"512",2016,"White Alone",99400000,65901,585,91988,936,"$150,000 to $199,999",7.5
"513",2016,"White Alone",99400000,65901,585,91988,936,"$200,000 and over",8.5
"514",2015,"White Alone",99313000,64864,676,88731,834,"Under $15,000",8.9
"515",2015,"White Alone",99313000,64864,676,88731,834,"$15,000 to $24,999",9.5
"516",2015,"White Alone",99313000,64864,676,88731,834,"$25,000 to $34,999",9.4
"517",2015,"White Alone",99313000,64864,676,88731,834,"$35,000 to $49,999",12.2
"518",2015,"White Alone",99313000,64864,676,88731,834,"$50,000 to $74,999",16.3
"519",2015,"White Alone",99313000,64864,676,88731,834,"$75,000 to $99,999",12.9
"520",2015,"White Alone",99313000,64864,676,88731,834,"$100,000 to $149,999",15.8
"521",2015,"White Alone",99313000,64864,676,88731,834,"$150,000 to $199,999",7.4
"522",2015,"White Alone",99313000,64864,676,88731,834,"$200,000 and over",7.6
"523",2014,"White Alone",98679000,61470,631,85277,930,"Under $15,000",9.9
"524",2014,"White Alone",98679000,61470,631,85277,930,"$15,000 to $24,999",10.1
"525",2014,"White Alone",98679000,61470,631,85277,930,"$25,000 to $34,999",9.3
"526",2014,"White Alone",98679000,61470,631,85277,930,"$35,000 to $49,999",12.5
"527",2014,"White Alone",98679000,61470,631,85277,930,"$50,000 to $74,999",16.8
"528",2014,"White Alone",98679000,61470,631,85277,930,"$75,000 to $99,999",12.7
"529",2014,"White Alone",98679000,61470,631,85277,930,"$100,000 to $149,999",14.7
"530",2014,"White Alone",98679000,61470,631,85277,930,"$150,000 to $199,999",6.9
"531",2014,"White Alone",98679000,61470,631,85277,930,"$200,000 and over",7.3
"532",2013,"White Alone",98807000,62378,935,85551,1371,"Under $15,000",9.8
"533",2013,"White Alone",98807000,62378,935,85551,1371,"$15,000 to $24,999",10
"534",2013,"White Alone",98807000,62378,935,85551,1371,"$25,000 to $34,999",9.2
"535",2013,"White Alone",98807000,62378,935,85551,1371,"$35,000 to $49,999",12.4
"536",2013,"White Alone",98807000,62378,935,85551,1371,"$50,000 to $74,999",17
"537",2013,"White Alone",98807000,62378,935,85551,1371,"$75,000 to $99,999",12.7
"538",2013,"White Alone",98807000,62378,935,85551,1371,"$100,000 to $149,999",14.5
"539",2013,"White Alone",98807000,62378,935,85551,1371,"$150,000 to $199,999",7.1
"540",2013,"White Alone",98807000,62378,935,85551,1371,"$200,000 and over",7.3
"541",2012,"White Alone",97705000,59912,705,83015,851,"Under $15,000",9.6
"542",2012,"White Alone",97705000,59912,705,83015,851,"$15,000 to $24,999",10.2
"543",2012,"White Alone",97705000,59912,705,83015,851,"$25,000 to $34,999",10
"544",2012,"White Alone",97705000,59912,705,83015,851,"$35,000 to $49,999",12.5
"545",2012,"White Alone",97705000,59912,705,83015,851,"$50,000 to $74,999",17.6
"546",2012,"White Alone",97705000,59912,705,83015,851,"$75,000 to $99,999",12.6
"547",2012,"White Alone",97705000,59912,705,83015,851,"$100,000 to $149,999",14.6
"548",2012,"White Alone",97705000,59912,705,83015,851,"$150,000 to $199,999",6.7
"549",2012,"White Alone",97705000,59912,705,83015,851,"$200,000 and over",6.3
"550",2011,"White Alone",96964000,59481,422,82946,791,"Under $15,000",9.8
"551",2011,"White Alone",96964000,59481,422,82946,791,"$15,000 to $24,999",9.6
"552",2011,"White Alone",96964000,59481,422,82946,791,"$25,000 to $34,999",10.1
"553",2011,"White Alone",96964000,59481,422,82946,791,"$35,000 to $49,999",13.1
"554",2011,"White Alone",96964000,59481,422,82946,791,"$50,000 to $74,999",17.6
"555",2011,"White Alone",96964000,59481,422,82946,791,"$75,000 to $99,999",12.4
"556",2011,"White Alone",96964000,59481,422,82946,791,"$100,000 to $149,999",14.5
"557",2011,"White Alone",96964000,59481,422,82946,791,"$150,000 to $199,999",6.6
"558",2011,"White Alone",96964000,59481,422,82946,791,"$200,000 and over",6.2
"559",2010,"White Alone",96306000,60763,489,82741,783,"Under $15,000",9.4
"560",2010,"White Alone",96306000,60763,489,82741,783,"$15,000 to $24,999",10.4
"561",2010,"White Alone",96306000,60763,489,82741,783,"$25,000 to $34,999",9.2
"562",2010,"White Alone",96306000,60763,489,82741,783,"$35,000 to $49,999",13.2
"563",2010,"White Alone",96306000,60763,489,82741,783,"$50,000 to $74,999",17.1
"564",2010,"White Alone",96306000,60763,489,82741,783,"$75,000 to $99,999",12.8
"565",2010,"White Alone",96306000,60763,489,82741,783,"$100,000 to $149,999",15
"566",2010,"White Alone",96306000,60763,489,82741,783,"$150,000 to $199,999",6.6
"567",2010,"White Alone",96306000,60763,489,82741,783,"$200,000 and over",6.3
"568",2009,"White Alone",95489000,61947,303,84263,534,"Under $15,000",8.9
"569",2009,"White Alone",95489000,61947,303,84263,534,"$15,000 to $24,999",9.6
"570",2009,"White Alone",95489000,61947,303,84263,534,"$25,000 to $34,999",9.5
"571",2009,"White Alone",95489000,61947,303,84263,534,"$35,000 to $49,999",13.1
"572",2009,"White Alone",95489000,61947,303,84263,534,"$50,000 to $74,999",17.8
"573",2009,"White Alone",95489000,61947,303,84263,534,"$75,000 to $99,999",12.9
"574",2009,"White Alone",95489000,61947,303,84263,534,"$100,000 to $149,999",15.2
"575",2009,"White Alone",95489000,61947,303,84263,534,"$150,000 to $199,999",6.7
"576",2009,"White Alone",95489000,61947,303,84263,534,"$200,000 and over",6.4
