"","year","race","dollar_type","income_quintile","income_dollars"
"510",1988,"All Races","2019 Dollars","Top 5%",258810
"511",1987,"All Races","2019 Dollars","Lowest",13238
"512",1987,"All Races","2019 Dollars","Second",33643
"513",1987,"All Races","2019 Dollars","Middle",56248
"514",1987,"All Races","2019 Dollars","Fourth",85021
"515",1987,"All Races","2019 Dollars","Highest",161690
"516",1987,"All Races","2019 Dollars","Top 5%",254742
"517",1986,"All Races","2019 Dollars","Lowest",12894
"518",1986,"All Races","2019 Dollars","Second",33168
"519",1986,"All Races","2019 Dollars","Middle",55504
"520",1986,"All Races","2019 Dollars","Fourth",83614
"521",1986,"All Races","2019 Dollars","Highest",158262
"522",1986,"All Races","2019 Dollars","Top 5%",247927
"523",1985,"All Races","2019 Dollars","Lowest",12756
"524",1985,"All Races","2019 Dollars","Second",32326
"525",1985,"All Races","2019 Dollars","Middle",53657
"526",1985,"All Races","2019 Dollars","Fourth",80712
"527",1985,"All Races","2019 Dollars","Highest",150766
"528",1985,"All Races","2019 Dollars","Top 5%",232567
"529",1984,"All Races","2019 Dollars","Lowest",12776
"530",1984,"All Races","2019 Dollars","Second",31822
"531",1984,"All Races","2019 Dollars","Middle",52734
"532",1984,"All Races","2019 Dollars","Fourth",79399
"533",1984,"All Races","2019 Dollars","Highest",145996
"534",1984,"All Races","2019 Dollars","Top 5%",220386
